host;ip;port;lastseen;delay;cid;country_code;country_name;city;checks_up;checks_down;anon;http;ssl;socks4;socks5
138.36.4.81;138.36.4.81;4145;6159;2000;3394682;BR;Brazil;Mossoro;623;97;4;0;0;1;0
182.52.238.69;182.52.238.69;3629;6160;2120;1607532;TH;Thailand;Ayutthaya;1634;88;4;0;0;1;0
103.109.97.22;103.109.97.22;8291;6160;4680;1185241;BD;Bangladesh;Dhaka;182;18;4;0;0;1;0
91.225.4.79;91.225.4.79;33494;6162;600;695594;UA;Ukraine;Rivne;3787;306;4;0;0;1;0
222.165.234.147;222.165.234.147;52667;6164;1840;1643084;ID;Indonesia;;3867;406;4;0;0;1;0
45.64.134.34;45.64.134.34;45984;6165;2560;1210997;BD;Bangladesh;;1796;265;4;0;0;1;0
217.21.54.173;217.21.54.173;4145;6169;3220;630336;BY;Belarus;;1538;559;4;0;0;1;0
190.95.145.11;190.95.145.11;4145;6170;1420;3658394;EC;Ecuador;;2626;410;4;0;0;1;0
46.35.249.189;46.35.249.189;43428;6220;1700;694423;UA;Ukraine;Sevastopol;116;177;4;1;0;0;0
188.226.141.61;188.226.141.61;8080;6228;2020;2750405;NL;Netherlands;;10727;241;4;1;0;0;0
190.151.94.2;190.151.94.2;56093;6247;1300;3871336;CL;Chile;Santiago;3584;355;4;0;0;1;0
118.97.108.18;118.97.108.18;4145;6272;980;1642911;ID;Indonesia;Jakarta;2796;567;4;0;0;1;0
185.46.223.198;185.46.223.198;23500;6273;3700;702550;UA;Ukraine;Lviv;2108;1202;4;1;0;0;0
36.66.218.153;36.66.218.153;1080;6275;1040;1625822;ID;Indonesia;Surabaya;12789;2411;4;0;0;1;0
103.247.22.173;103.247.22.173;11337;6278;2120;1649378;ID;Indonesia;Bekasi;35;30;4;0;0;1;0
181.48.7.146;181.48.7.146;4145;6308;2040;3674962;CO;Colombia;Medellín;2171;465;4;0;0;1;0
103.68.2.254;103.68.2.254;4145;6314;1580;1643084;ID;Indonesia;;1125;460;4;0;0;1;0
103.61.198.234;103.61.198.234;4145;6334;1000;1272975;;;;1639;432;4;0;0;1;0
103.8.195.34;103.8.195.34;4145;6343;2380;1259229;IN;India;Pune;2879;514;4;0;0;1;0
92.247.142.14;92.247.142.14;53281;6376;3740;732800;BG;Bulgaria;;1973;1276;4;1;0;0;0
103.233.103.237;103.233.103.237;4153;6383;1200;1649378;ID;Indonesia;Bekasi;1044;529;4;0;0;1;0
41.65.186.112;41.65.186.112;8080;6405;840;360630;EG;Egypt;Cairo;83;67;1;1;0;0;0
138.197.157.44;138.197.157.44;8080;6409;4260;6167865;CA;Canada;Toronto;15759;269;4;1;0;0;0
137.59.161.98;137.59.161.98;3128;6410;3100;1648473;ID;Indonesia;Bogor;13;46;1;1;0;0;0
139.59.53.106;139.59.53.106;3128;6413;1660;1277333;IN;India;Bengaluru;9323;187;4;1;0;0;0
139.59.53.106;139.59.53.106;8080;6413;1520;1277333;IN;India;Bengaluru;8790;199;4;1;0;0;0
139.59.53.107;139.59.53.107;8080;6414;1360;1277333;IN;India;Bengaluru;8261;217;4;1;0;0;0
138.197.157.60;138.197.157.60;8080;6418;5100;6167865;CA;Canada;Toronto;15458;288;4;1;0;0;0
138.197.157.44;138.197.157.44;3128;6420;2340;6167865;CA;Canada;Toronto;12102;237;4;1;0;0;0
175.106.17.98;175.106.17.98;8080;6439;5100;1643084;ID;Indonesia;;331;517;4;1;0;0;0
server-36-r49.ipv4.syd02.ds.network;122.201.112.114;80;6458;3440;2147714;AU;Australia;Sydney;515;5;3;1;0;0;0
indonesia.gonitechnology.com;45.127.134.252;1088;6460;1220;1621177;ID;Indonesia;Yogyakarta;72;0;4;0;0;1;0
186.194.146.125;186.194.146.125;1080;6461;1420;6317767;BR;Brazil;"""Nova Santa Rosa""";31;0;4;0;0;1;0
120.132.52.144;120.132.52.144;8888;6469;2460;1816670;CN;China;Beijing;624;12;4;1;0;0;0
202.69.38.82;202.69.38.82;8080;6478;5100;1168579;PK;Pakistan;;3244;10194;1;1;0;0;0
36.92.93.107;36.92.93.107;8080;6480;4640;1643084;ID;Indonesia;;151;260;1;1;0;0;0
36.92.79.234;36.92.79.234;8080;6480;3740;1643084;ID;Indonesia;;154;266;1;1;0;0;0
