city_id|city_name|region_id|region_name|uik_id|uik_name|F1|F2|F3|F4|F5|F6|F7|F8|F9|F10|F11|F12|F13|F14|F15|F16|
1|Москва|4|район Гольяново|962|УИК №962|2389|1800|668|40|1092|40|667|26|681|0|0|7|50|116|55|453|
1|Москва|4|район Гольяново|963|УИК №963|2038|1500|493|23|984|23|493|20|496|0|0|9|45|80|39|323|
1|Москва|4|район Гольяново|964|УИК №964|2278|1700|553|41|1106|41|552|19|574|0|0|4|54|75|42|399|
1|Москва|4|район Гольяново|965|УИК №965|2196|1700|594|38|1068|38|594|21|611|0|0|13|53|68|49|428|
1|Москва|4|район Гольяново|966|УИК №966|2209|1700|502|39|1159|39|497|16|520|0|0|10|41|66|42|361|
1|Москва|4|район Гольяново|967|УИК №967|2362|1800|638|51|1111|51|638|22|667|0|0|6|47|85|54|475|
1|Москва|4|район Гольяново|968|УИК №968|2217|1700|618|52|1030|52|616|20|648|0|0|14|49|93|36|456|
1|Москва|4|район Гольяново|969|УИК №969|2390|1800|489|65|1246|65|489|21|533|0|0|12|51|55|58|357|
1|Москва|4|район Гольяново|970|УИК №970|2399|1800|661|43|1096|43|661|26|678|0|0|12|65|71|70|460|
1|Москва|4|район Гольяново|971|УИК №971|2398|1800|606|47|1147|47|606|23|630|0|0|14|61|87|56|412|
1|Москва|4|район Гольяново|972|УИК №972|2067|1500|602|47|851|47|599|20|626|0|0|7|74|82|71|392|
1|Москва|4|район Гольяново|973|УИК №973|2170|1600|555|25|1020|25|555|15|565|0|0|12|51|92|28|382|
1|Москва|4|район Гольяново|974|УИК №974|2383|1800|582|64|1154|64|582|34|612|0|0|21|51|83|56|401|
1|Москва|4|район Гольяново|975|УИК №975|2220|1700|597|41|1062|41|597|19|619|0|0|13|54|63|55|434|
1|Москва|4|район Гольяново|976|УИК №976|2350|1800|645|30|1125|30|645|20|655|0|0|7|56|80|66|446|
1|Москва|4|район Гольяново|977|УИК №977|2308|1800|629|51|1120|51|628|15|664|0|0|14|67|71|69|443|
